Name,Image Path,Type 1,Type 2,Description
Amaura,pokemon_images/Amaura.jpg,Rock,Ice,"A cute blue dinosaur-like creature with a long neck, cheerful expression, large eyes, and pastel-colored fins on its head, featuring a diamond-shaped mark on its chest and small fins on its sides."
Ambipom,pokemon_images/Ambipom.jpg,Normal,,"A purple monkey-like creature with large hands and a playful expression, featuring a round face, long ears, and a unique hairstyle with two antennae-like spikes, standing in a cheerful pose."
Amoonguss,pokemon_images/Amoonguss.jpg,Grass,Poison,"mushroom Pokémon with a round cap, pink and gray colors, holding two Poké Balls, with a sleepy expression, cartoon style"
Ampharos,pokemon_images/Ampharos.jpg,Electric,,"""Yellow electric Pokémon with black stripes, a round red orb on its head, and a curly tail, standing with arms outstretched, cartoon-style."""
Annihilape,pokemon_images/Annihilape.jpg,Fighting,Ghost,"""An animated character resembling a ghostly figure with a wispy, smoky appearance, featuring long, flowing hair-like tendrils and a mouth with a prominent pink tongue. The character has oversized arms with claw-like hands and is adorned with black wristbands. It exudes a mischievous yet eerie vibe."""
Anorith,pokemon_images/Anorith.jpg,Rock,Bug,"A cartoon-style insect-like creature with large round eyes, a segmented body, and prominent wing-like structures. The creature has a primarily green and gray color scheme with striking red accents on its wings. It features a mix of aquatic and aerial traits."
Appletun,pokemon_images/Appletun.jpg,Grass,Dragon,"""An adorable, chubby turtle-like creature with a round, pastry-like shell topped with fruit, resting on a green surface."""
Applin,pokemon_images/Applin.jpg,Grass,Dragon,"""cartoonish apple character with green leaves and large eyes, playful and whimsical design, bright colors"""
Araquanid,pokemon_images/Araquanid.jpg,Water,Bug,"A cute, cartoon-style spider with a glossy blue body, surrounded by large, translucent bubbles. It has long, slender green legs and a friendly expression, showcasing a whimsical and imaginative design."
Arbok,pokemon_images/Arbok.jpg,Poison,,"""Purple serpent-like creature with a hood, featuring red and yellow patterns, sharp fangs, and a forked tongue, exuding a menacing aura."""
Arboliva,pokemon_images/Arboliva.jpg,Grass,Normal,"""Animated character of a green, tree-like creature with a slender body, leafy branches, and dark purple berries hanging from its limbs, showcasing a serene expression."""
Arcanine,pokemon_images/Arcanine.jpg,Fire,,"A fluffy, cartoonish dog-like creature with orange and black stripes, large ears, and a bushy tail, exuding a confident and playful demeanor. The creature has sharp eyes and a friendly expression, standing in a relaxed but alert pose."
Arceus,pokemon_images/Arceus.jpg,Normal,,"A mythical creature with a majestic white body, adorned with golden spikes and green gems, exuding a radiant aura, standing in an elegant pose against a plain background."
Archaludon,pokemon_images/Archaludon.jpg,Steel,Dragon,"""Futuristic robotic creature, angular design with sharp edges, predominantly blue and white with red accents, featuring a helmet-like head and multiple arms resembling large structures, exuding a sense of strength and technological advancement."""
Archen,pokemon_images/Archen.jpg,Rock,Flying,"""Colorful cartoon dinosaur-like creature with a red and blue head, yellow body, and large wings, standing in a playful pose"""
Archeops,pokemon_images/Archeops.jpg,Rock,Flying,"A colorful, fantastical bird-like creature with vibrant feathers in shades of blue, green, yellow, and red, soaring gracefully through the air with an expressive, joyful demeanor."
Arctibax,pokemon_images/Arctibax.jpg,Dragon,Ice,"A blue dinosaur-like creature with sharp spikes on its back, a beak-like head, and orange claws, standing in a dynamic pose, cartoon style."
Arctovish,pokemon_images/Arctovish.jpg,Water,Ice,"A cute, cartoonish water-type creature resembling a blue fish with a rounded body, large eyes, and a smiling mouth, displaying fins and a playful demeanor."
Arctozolt,pokemon_images/Arctozolt.jpg,Electric,Ice,"A whimsical cartoon creature with a snowy cap and a blue, rounded body, featuring a small, lively character with spiky yellow hair perched on top, playfully drooling. The creature has large fins and a cheerful expression, embodying a playful and imaginative design suitable for a children's animation or game."
Ariados,pokemon_images/Ariados.jpg,Bug,Poison,"A cartoonish, purple and red spider-like creature with six legs, large expressive eyes, and a single pointed horn on its head, featuring yellow accents on its limbs."
Armaldo,pokemon_images/Armaldo.jpg,Rock,Bug,"A blue and black armored creature resembling a turtle, with a shell featuring spikes, red accents, and clawed limbs, posed in a dynamic stance. The creature has large, pointed ears and bright red eyes, giving it a fierce appearance."
Armarouge,pokemon_images/Armarouge.jpg,Fire,Psychic,"A fiery armored character with a sleek, black and red color scheme, featuring large yellow shoulder pads and a flaming head crest. The character stands tall and confident, evoking a sense of power and intensity."
Aromatisse,pokemon_images/Aromatisse.jpg,Fairy,,"""Whimsical character with a round, fluffy body, predominantly purple with pink accents, large bright orange eyes, and delicate horns on its head, exuding a playful and magical vibe."""
Aron,pokemon_images/Aron.jpg,Steel,Rock,"""Image of a small, cartoonish Pokémon resembling a steel and rock-type creature, featuring a large round head with a prominent shell, a single blue eye, and a rounded body with short legs."""
Arrokuda,pokemon_images/Arrokuda.jpg,Water,,"""Cartoon-style fish character with a brown and yellow body, large eyes, and playful expression, featuring white scale patterns and an orange accent on the gills, swimming in a cheerful manner."""
Articuno,pokemon_images/Articuno.jpg,Ice,Flying,"Majestic blue bird with large wings, elegant feathers, and a long tail, resembling a mythical creature, against a clean background."
Audino,pokemon_images/Audino.jpg,Normal,,"Cute pink and cream Pokémon character with large blue eyes, floppy ears, and a cheerful expression, standing with one arm raised, simplistic cartoon style."
Aurorus,pokemon_images/Aurorus.jpg,Rock,Ice,"A blue dinosaur-like creature with a long neck, featuring a fluffy, yellow mane and fin-like extensions on its head. It has light blue scales and diamond-shaped patterns on its body, standing upright with a curvy tail. The creature's eyes are sharp and expressive, adding to its mystical appearance."
Avalugg,pokemon_images/Avalugg.jpg,Ice,,"Ice-type Pokémon resembling a giant ice turtle with crystalline features, a rugged shell, and blue highlights, set against a simple background."
Axew,pokemon_images/Axew.jpg,Dragon,,"""Cartoon dragon-like creature with a green body, large pointed ears, red eyes, and a green scarf around its neck, standing in a playful pose."""
Azelf,pokemon_images/Azelf.jpg,Psychic,,"A blue, floating Pokémon with a unique triangular-shaped head, large yellow eyes, and a red gemstone on its forehead. It has two long, wispy tails, each with a smaller head resembling its own. The overall appearance is mystical and ethereal, embodying a sense of tranquility and grace."
Azumarill,pokemon_images/Azumarill.jpg,Water,Fairy,"A blue, round cartoon character with large ears and a wide smile, featuring white spots on its body and a curly tail. The character has a playful demeanor, embodying a joyful and friendly vibe, often associated with a whimsical fantasy world."
Azurill,pokemon_images/Azurill.jpg,Normal,Fairy,"A cute blue creature with large ears, round body, and a star-shaped tail, looking a bit sad. It has big, expressive eyes and rosy pink inner ears, resembling a toy or cartoon character."
Bagon,pokemon_images/Bagon.jpg,Dragon,,"Cartoonish blue dinosaur-like creature with a large, gray, stylized hairdo, standing upright with a cheerful expression, featuring a round body, stubby limbs, and prominent fangs."
Baltoy,pokemon_images/Baltoy.jpg,Ground,Psychic,"A small, round, beige creature with a prominent spike on top of its head, large closed eyes, and a distinctive pink and red design on its body, resembling a toy or robot, with outstretched arms and a simplistic, friendly appearance."
Banette,pokemon_images/Banette.jpg,Ghost,,"""Anime-style illustration of a mischievous, shadowy creature with a wide grin, featuring pink eyes, a small yellow fang, and a star-shaped tail. The character has a sleek, dark body and an elongated, spiky hair-like appendage."""
Barbaracle,pokemon_images/Barbaracle.jpg,Rock,Water,"""Fighting Rock-type Pokémon with four arms, a rocky body adorned with orange and black stripes, and sharp claws. It has a fierce expression, with eyes on its arms and a spiky protrusion from its head, showcasing its rugged and powerful appearance."""
Barboach,pokemon_images/Barboach.jpg,Water,Ground,"Catfish-like creature, cartoon style, primarily light gray with blue accents, large eyes, long antennae, and a playful expression, featuring black zigzag markings along its body, whimsical and colorful design, suitable for a fantastical or animated setting."
Barraskewda,pokemon_images/Barraskewda.jpg,Water,,"""Cartoonish fish character with a long body and distinctive features, including a toothy grin, large eyes, and orange fins. The body is a mix of brown and green with white markings resembling bones, emphasizing a playful and imaginative design."""
Basculegion,pokemon_images/Basculegion.jpg,Water,Ghost,"A vibrant, stylized fish-like creature with sharp teeth, featuring a green body adorned with pink patterns and smoke-like features. Streamlined and dynamic design, with fins and spikes that enhance its fierce appearance, set against a simple white background."
Basculin,pokemon_images/Basculin.jpg,Water,,"""Two cartoonish fish characters, one with a fierce red eye and green body, the other with a calm blue eye and similar green body, both featuring spiky fins and geometric patterns. Set against a white background."""
Bastiodon,pokemon_images/Bastiodon.jpg,Rock,Steel,"""Cartoon character resembling a dinosaur with a large, rocky, fortress-like shell, featuring multiple spikes and windows, with distinct white tusks and a friendly expression."""
Baxcalibur,pokemon_images/Baxcalibur.jpg,Dragon,Ice,"""An imposing, reptilian creature with a dark blue body and a spiky back, featuring icy armor-like scales and fierce yellow eyes. Its limbs are powerful, showcasing red claws, and it stands in a dynamic pose, exuding strength and confidence."""
Bayleef,pokemon_images/Bayleef.jpg,Grass,,"A friendly and whimsical dinosaur-like creature with a long neck, adorned with green leaves on its back and head, featuring large red eyes and a cheerful expression. It has a light yellow body and small, rounded feet, embodying a playful and nature-inspired Pokémon."
Beartic,pokemon_images/Beartic.jpg,Ice,,"A fierce polar bear-like creature with a blue-tinted face, prominent claws, and an open mouth, showcasing a strong and intimidating presence. The creature is predominantly white with soft, fluffy fur and a muscular build, standing in a dynamic pose that conveys strength and aggression."
Beautifly,pokemon_images/Beautifly.jpg,Bug,Flying,"A colorful, stylized butterfly character with large blue eyes and intricate wing patterns in black, yellow, and red, featuring a whimsical design reminiscent of animated creatures."
Beedrill,pokemon_images/Beedrill.jpg,Bug,Poison,"""Cartoon-style electric yellow and black bee with transparent wings and ice-like arm weapons, large red eyes, and a pointed tail, set against a plain white background."""
Beheeyem,pokemon_images/Beheeyem.jpg,Psychic,,"""An anthropomorphic, bell-shaped creature with a beige body, large green eyes, and colorful orbs on its hands and body, resembling a playful yet mysterious figure from a fantasy world."""
Beldum,pokemon_images/Beldum.jpg,Steel,Psychic,"A blue robotic creature with a rounded body, three sharp protrusions, and a distinctive red eye. Its design features angular, metallic shapes, suggesting a strong, armored appearance."
Bellibolt,pokemon_images/Bellibolt.jpg,Electric,,"A cute, rounded, green creature with large eyes and a smiling face, featuring a prominent black belly with a yellow circle, sitting down, cartoon style."
Bellossom,pokemon_images/Bellossom.jpg,Grass,,"A cute, smiling green creature with a flower-like design, featuring orange and yellow petals, large expressive eyes, and a round body. The character has a leaf-like lower body resembling a skirt and is depicted in a cheerful pose, exuding a playful and whimsical vibe."
Bellsprout,pokemon_images/Bellsprout.jpg,Grass,Poison,"""A whimsical plant creature with a round yellow head, cute smile, and large green leaves, sprouting from a thin stem, inspired by cartoonish styles."""
Bergmite,pokemon_images/Bergmite.jpg,Ice,,"""Stylized ice Pokémon with a crystal-like appearance, featuring a triangular head, sharp edges, large round eyes with a purple outline, and a predominantly icy blue color scheme, set against a simple background."""
Bewear,pokemon_images/Bewear.jpg,Normal,Fighting,"A cheerful, cartoonish bear-like creature with a round, pink body and black limbs, posing with outstretched arms. It features a white, fluffy face with large eyes and a small mouth, resembling a playful and friendly character. The paws are pink with little pads, giving it an adorable appearance."
Bibarel,pokemon_images/Bibarel.jpg,Normal,Water,"""Cartoon character of a cute, chubby beaver with a round body, big eyes, and a toothy grin, sitting happily with its tail curled behind it, featuring a brown and cream color scheme."""
Bidoof,pokemon_images/Bidoof.jpg,Normal,,"A cartoon-style, chubby beaver-like creature with a fluffy, brown body, large front teeth, a round face with a light beige muzzle, and small ears, sitting on its hind legs."
Binacle,pokemon_images/Binacle.jpg,Rock,Water,"""Two-headed rocky creature with spiky green hair, angry expressions, and a sturdy base, reminiscent of a whimsical monster from a fantasy world."""
Bisharp,pokemon_images/Bisharp.jpg,Dark,Steel,"A sleek, humanoid Pokémon with red and black armor, featuring a distinctive golden crest on its head, one arm raised as if preparing to attack, and metal claws on its hands. The character stands in a dynamic pose with swirling rings around its waist, showcasing a blend of elegance and strength."
Blacephalon,pokemon_images/Blacephalon.jpg,Fire,Ghost,"""Whimsical character with a cloud-like body, multicolored striped limbs, and a spherical head covered in polka dots and stars, striking a playful pose."""
Blastoise,pokemon_images/Blastoise.jpg,Water,,"""Blastoise, a blue turtle Pokémon with a large brown shell, featuring two water cannons on its back, facing slightly to the right, in a cartoonish art style."""
Blaziken,pokemon_images/Blaziken.jpg,Fire,Fighting,"Blaziken, a bipedal Fire/Fighting-type Pokémon, featuring a muscular build, distinct flame-patterned legs, and long blonde hair. It poses dynamically with an aggressive stance, showcasing its powerful limbs and intense gaze."
Blipbug,pokemon_images/Blipbug.jpg,Bug,,"A cute, cartoon-style bug-like creature with large, expressive eyes, a round body primarily in shades of purple and yellow, and a spiky tuft on its head. It's designed in an animated, playful style, reminiscent of characters from children's media."
Blissey,pokemon_images/Blissey.jpg,Normal,,"A happy pink creature with a round body and curly ears, resembling a soft, fluffy ball, with white wings and an egg-like feature in its lower half, standing in a cheerful pose."
Blitzle,pokemon_images/Blitzle.jpg,Electric,,"A cute cartoon-like zebra character with black and white stripes, a distinctive lightning bolt on its head, bright blue eyes, and a friendly expression, set against a plain white background."
Boldore,pokemon_images/Boldore.jpg,Rock,,"Rock-type Pokémon with a rocky, crab-like appearance, featuring a dark blue body and orange spikes. It has a notable pair of yellow eyes and is often seen in mountainous or rocky terrains."
Boltund,pokemon_images/Boltund.jpg,Electric,,"A dynamic, cartoon-style character resembling a playful, energetic dog with a yellow and green color scheme, featuring sharp spikes on its back, running joyfully with a happy expression."
Bombirdier,pokemon_images/Bombirdier.jpg,Flying,Dark,"A whimsical cartoon stork with a long neck, white body, and black wings, standing proudly with spread wings and a playful expression. Its red beak and legs add a vibrant touch to the overall design, evoking a friendly and cheerful persona."
Bonsly,pokemon_images/Bonsly.jpg,Rock,,"""Cartoon-style character resembling a small, anthropomorphic plant with a round, bulbous base, two large eyes, and three green orbs on top that resemble leaves."""
Bouffalant,pokemon_images/Bouffalant.jpg,Normal,,"A playful, cartoon-style brown bison with a thick, fluffy dark brown mane and prominent curved horns, standing in a confident pose. The character has a determined expression, with small eyes and a rounded body."
Bounsweet,pokemon_images/Bounsweet.jpg,Grass,,"""A cute, rounded creature with a bright pink body, large green leaves on top, and a joyful face, resembling a mix of a fruit and a plant."""
Braixen,pokemon_images/Braixen.jpg,Fire,,"""Stylized illustration of a fox-like creature with large, flame-colored ears, a bushy tail, and a distinctive dress-like fur pattern. The character has an elegant posture, sharp features, and a confident expression, resembling a magical or fantasy-themed animal."""
Brambleghast,pokemon_images/Brambleghast.jpg,Grass,Ghost,"""An abstract creature with a spiky, thorny body featuring two large, expressive eyes; colors include shades of brown, orange, and hints of purple, creating a playful yet slightly menacing appearance."""
Bramblin,pokemon_images/Bramblin.jpg,Grass,Ghost,"""Stylized creature resembling a spiky vine ball with two dark eyes, featuring a gradient of earthy colors from brown to yellow, set against a plain white background."""
Braviary,pokemon_images/Braviary.jpg,Normal,Flying,"A majestic, cartoonish bird Pokémon with a powerful stance, featuring a combination of white, brown, and blue feathers, sharp claws, and a fierce expression. Its wings are large and outstretched, emphasizing its strength and agility. The background is simple to highlight the character."
Breloom,pokemon_images/Breloom.jpg,Grass,Fighting,"""Cartoon-style character of a green mushrooms-inspired creature with a rounded cap, large expressive eyes, and a playful stance, featuring red accents on its legs and a unique tail."""
Brionne,pokemon_images/Brionne.jpg,Water,,"A playful blue water Pokémon with a sleek design, featuring a pink nose and white fluffy accent, swimming gracefully. It has large, expressive eyes and two tufts on its head, embodying a cheerful and energetic demeanor."
Bronzong,pokemon_images/Bronzong.jpg,Steel,Psychic,"Ancient bell-shaped creature, teal and gray colors, with a circular top, two extended arms, large red eyes, and an intricate face design, cartoon style."
Bronzor,pokemon_images/Bronzor.jpg,Steel,Psychic,"A whimsical blue creature resembling a shield, featuring a round central body with two large yellow eyes and metallic orbs surrounding it, illustrated in a cartoonish style."
Brute Bonnet,pokemon_images/Brute Bonnet.jpg,Grass,Dark,"A cute, whimsical creature resembling a small, round figure with a large, leafy green top and spikes, sitting on a flat surface. The body is predominantly brown, with a red and beige dome-like structure above adorned with spiky protrusions. A Poké Ball design is visible on the side, adding a playful Pokémon theme to the character."
Bruxish,pokemon_images/Bruxish.jpg,Water,Psychic,"A colorful, cartoonish fish character with vibrant patterns, large expressive eyes, and a mischievous smile, featuring shades of pink, yellow, blue, and purple. The fish has exaggerated features, including pronounced fins and sharp teeth, giving it a playful yet fierce appearance."
Budew,pokemon_images/Budew.jpg,Grass,Poison,"A cute, cartoonish green creature with a spiral body, featuring a round yellow belly with a smiling face, surrounded by leaf-like shapes at the bottom. The top of its body has a small, curled leaf."
Buizel,pokemon_images/Buizel.jpg,Water,,"A playful, cartoonish water-type creature with an orange body, large rounded ears, and a yellow collar, gliding gracefully through the air. It has blue fins on its back and a cheerful expression, embodying a sense of adventure and liveliness."
Bulbasaur,pokemon_images/Bulbasaur.jpg,Grass,Poison,"A cute, cartoonish green dinosaur-like creature with large red eyes and a distinctive plant bulb on its back, smiling happily. The character has a rounded body shape, small limbs, and various darker green spots on its skin, set against a simple white background."
Buneary,pokemon_images/Buneary.jpg,Normal,,"Cute brown bunny-like Pokémon with fluffy cream-colored ears and tail, playful expression, and a round body, jumping in a cheerful pose."
Bunnelby,pokemon_images/Bunnelby.jpg,Normal,,"""Cartoon rabbit with large floppy ears, gray fur, pink inner ears, and a brown collar around its neck, standing upright and looking curiously."""
Burmy,pokemon_images/Burmy.jpg,Bug,,"Three cute, cartoon-style creatures resembling fluffy, round sheep with distinct attributes: one is covered in white wool, another is wrapped in green leaves, and the last is dressed in pink fluff, all featuring large, expressive eyes and spiral horns on top of their heads."
Butterfree,pokemon_images/Butterfree.jpg,Bug,Flying,"""A cute cartoon butterfly with large white wings, a round purple body, blue accents, and big red eyes, in a playful pose."""
Buzzwole,pokemon_images/Buzzwole.jpg,Bug,Fighting,"""An imposing, muscular insect-themed superhero with a combination of red and black armor, large, expressive eyes, and an aggressive stance. Features include sharp spikes on the shoulders, a segmented body reminiscent of an insect, and antennae protruding from the head, giving a fierce yet dynamic appearance."""
Cacnea,pokemon_images/Cacnea.jpg,Grass,,"A green, spiky, cactus-like creature with a crown, featuring large, circular eyes and diamond shapes on its body, characterized by a round shape and multiple protruding spikes."
Cacturne,pokemon_images/Cacturne.jpg,Grass,Dark,"A quirky, green creature with a triangular hat, elongated limbs, and spiky features, resembling a cactus character. It has large, expressive eyes and diamond-shaped decorations on its body, exuding a whimsical and playful vibe."
Calyrex,pokemon_images/Calyrex.jpg,Psychic,Grass,"A serene, ethereal creature resembling a humanoid figure with long, elegant limbs and large, green, balloon-like structures for hair. It has a draped scarf adorned with geometric patterns and possesses striking, expressive eyes. The color palette features shades of green, white, and blue, emphasizing its graceful and mystical appearance."
Camerupt,pokemon_images/Camerupt.jpg,Fire,Ground,"A cute, cartoonish creature resembling a tortoise, featuring a reddish-brown body with blue circular markings and rocky, mountain-like structures on its back. The creature has large, expressive eyes and a playful expression. Its spiky hair is vibrant and stands out, giving it a whimsical appearance in a fantasy setting."
Capsakid,pokemon_images/Capsakid.jpg,Grass,,"Cute, chubby green creature with big eyes, a small beak, and spiky head features, playfully running with a mischievous expression, cartoon style."
Carbink,pokemon_images/Carbink.jpg,Rock,Fairy,"""Snowy, cartoonish creature with a round, rocky body and icy crystals, featuring a fluffy white mustache and big blue eyes, resembling a whimsical ice-themed Pokémon."""
Carkol,pokemon_images/Carkol.jpg,Rock,Fire,"""An anthropomorphic rock creature with a smiling face, covered in black and gray rocky formations and glowing red cracks, sitting on a flat stone base, resembling a blend of volcanic rock and cartoon style."""
Carnivine,pokemon_images/Carnivine.jpg,Grass,,"""Colorful jellyfish-like creature with a green body, large smiling mouth, and multiple leafy tendrils, showcasing a playful and whimsical design."""
Carracosta,pokemon_images/Carracosta.jpg,Water,Rock,"A blue tortoise-like creature with a sturdy shell and flippers, featuring a combination of rounded and angular shapes. It has a large head with a single eye and a small mouth, exuding a strong and resilient appearance. The body is primarily blue with dark gray accents and a smooth underbelly, suggesting a water-themed design."
Carvanha,pokemon_images/Carvanha.jpg,Water,Dark,"""Colorful cartoon fish character with a round body, sharp teeth, and vibrant fins, featuring a blue upper half, red lower half, and yellow accents, set against a plain background."""
Cascoon,pokemon_images/Cascoon.jpg,Bug,,"""Cartoon-style creature resembling a round, spiky organism with a single large eye, primarily in light purple and white colors, featuring elongated spikes extending from its body."""
Castform,pokemon_images/Castform.jpg,Normal,,"A cute, small, gray creature with large, expressive eyes and a single horn on its head, characterized by a soft, round body and tiny, rounded limbs, appearing friendly and playful in a cartoonish style."
Caterpie,pokemon_images/Caterpie.jpg,Bug,,"A cute green caterpillar character with large, expressive eyes, a rounded body, and a distinctive orange horn on its head, set against a simple white background. The caterpillar has light yellow segments and green spots, giving it a cartoonish and friendly appearance."
Celebi,pokemon_images/Celebi.jpg,Psychic,Grass,"A small, mythical green creature with large blue eyes and delicate wings, soaring gracefully through the air. Its unique leaf-like features give it an enchanting appearance."
Celesteela,pokemon_images/Celesteela.jpg,Steel,Flying,"Futuristic robotic figure with elegant elongated arms, featuring a sleek design in shades of teal and gray, intricate details, and a blend of organic and mechanical elements, digital art style."
Centiskorch,pokemon_images/Centiskorch.jpg,Fire,Bug,"""Colorful cartoon-style fire serpent creature with a segmented body, sharp spikes, and expressive eyes, surrounded by flames, featuring shades of red, orange, and yellow."""
Ceruledge,pokemon_images/Ceruledge.jpg,Fire,Ghost,"""Collection of a mystical, armored warrior with a sleek design, featuring dual ethereal blades and a smoky aura. The character has a dark purple and black color scheme, enhanced by glowing accents. Visually striking with a futuristic and fantasy element, standing in a dynamic pose."""
Cetitan,pokemon_images/Cetitan.jpg,Ice,,"A cute, round creature with a spiky shell, featuring a white and pink color scheme, large expressive eyes, and a playful demeanor, reminiscent of a fictional character from an animated series."
Cetoddle,pokemon_images/Cetoddle.jpg,Ice,,"""A cute, rounded creature with a white body and pink spots, large expressive eyes, and a big open mouth, appearing joyful and playful, with small horn-like features on the top of its head and tail fins resembling wings."""
Chandelure,pokemon_images/Chandelure.jpg,Ghost,Fire,"""Chandelier Pokémon with a ghostly appearance, featuring a blue orb and flickering purple flames, elegantly designed with ornate black arms extending like candle holders."""
Chansey,pokemon_images/Chansey.jpg,Normal,,"A cute, round, pink creature with large ears and a smiling face, holding an egg in its hands, resembling a friendly cartoon character."
Charcadet,pokemon_images/Charcadet.jpg,Fire,,"Cute fire-themed character with a black and red outfit, featuring flame motifs and an expressive face, standing in an action pose with flames on its head and arms."
Charizard,pokemon_images/Charizard.jpg,Fire,Flying,"A powerful dragon Pokémon with orange scales, blue wings, a large tail, and a flame erupting from its tail tip, standing confidently with a fierce expression."
Charjabug,pokemon_images/Charjabug.jpg,Bug,Electric,"""Cartoonish, green, block-shaped creature with a face featuring blue eyes and a zigzag mouth, featuring two segments, small orange beak-like protrusions, and a playful, stylized design."""
Charmander,pokemon_images/Charmander.jpg,Fire,,"""An animated character resembling a small, orange dinosaur with blue eyes and a flame on its tail, standing and smiling cheerfully, showcasing a playful and friendly demeanor."""
Charmeleon,pokemon_images/Charmeleon.jpg,Fire,,"A cartoon dragon-like creature with red scales, a cream-colored belly, and a fiery tail. It has a confident expression, sharp claws, and small blue eyes, standing in a dynamic pose."
Chatot,pokemon_images/Chatot.jpg,Normal,Flying,"A colorful, cartoon-style bird character with a black hat-like crest, rosy beak, and vibrant blue and green plumage, standing on its yellow feet, against a plain white background."
Cherrim,pokemon_images/Cherrim.jpg,Grass,,"A whimsical, cartoonish character resembling a fruit-like creature with a purple body and a green leafy top, featuring a small red bulb at the top. The character has a rounded, soft appearance and is viewed from the back, embodying a playful and friendly style."
Cherubi,pokemon_images/Cherubi.jpg,Grass,,"Cute pink berry-like creature with a smiling face and two green leaves on top, accompanied by a smaller version of itself, cartoon style."
Chesnaught,pokemon_images/Chesnaught.jpg,Grass,Fighting,"A powerful, humanoid creature with a large spiky shell, featuring a green and cream color scheme, fierce expression, and muscular arms. It stands in an assertive pose, showcasing sharp claws and a prominent fur coat around its face, embodying a blend of nature and combat."
Chespin,pokemon_images/Chespin.jpg,Grass,,"A cheerful cartoon character with large, green plant-like ears and a friendly smile, standing with arms outstretched. Its body is predominantly brown with green accents and features a short tail ending in red. It has a small orange nose and white feet, exuding a playful and lively demeanor."
Chewtle,pokemon_images/Chewtle.jpg,Water,,"Cartoon character with a blue-green body, orange accents, and a distinctive horn on the head, looking surprised while shouting. The character has a turtle-like body structure with a large orange oval mouth and round legs."
Chi-Yu,pokemon_images/Chi-Yu.jpg,Dark,Fire,"""Colorful cartoon goldfish with orange and red fins, large round eyes, and mechanical eye coverings, swimming playfully in a whimsical style."""
Chien-Pao,pokemon_images/Chien-Pao.jpg,Dark,Ice,"A majestic white creature with sparkling blue accents, featuring icy spikes protruding from its back and tail. Its expressive eyes convey a sense of wisdom, while geometric patterns adorn its fur, suggesting an ethereal and magical presence. The creature stands confidently, exuding an aura of strength and elegance, surrounded by a faint shimmer reminiscent of frost."
Chikorita,pokemon_images/Chikorita.jpg,Grass,,"A cute, small, green Pokémon character with a large leaf on its head and friendly eyes, sitting down with a playful expression."
Chimchar,pokemon_images/Chimchar.jpg,Fire,,"A playful monkey-like creature with orange fur, big ears, and a flame on its tail; designed in a cartoonish style, exuding a mischievous yet friendly vibe."
